paper_id,section,question,answer
1003,Section 4.1: Experimental Results,How many computers do we infect each day?,thousands
1003,Section 4.2: Heap Spray detection,How many URLs were able to detect heap spray attacks?,274
1003,Section 4.2: Heap Spray detection,How many URLs can we process in a day?,"36,000 URLs"
1003,Section 4.2: Heap Spray detection,How many URLs were provided by Google Inc. that were known to contain different attacks?,"6,122 URLs"
1003,Section 4: Experimental Evaluation,What was the 64 bit version of software on both servers?,CentOS 5.3
1003,Section 4: Experimental Evaluation,What custom version did we deploy on each virtual container?,Wine 1.1.41
1003,Section 4: Experimental Evaluation,How many servers did we use to conduct our experiments?,two
1003,Section 5: Conclusions,What benefit did our preliminary results show when deploying our framework over traditional virtualization technologies?,scalability
1003,Title,What is the title of the paper?,Scalable Web Object Inspection and Malfease Collection *
1004,Abstract:,What can be given for the overall system's implementation?,security guarantees
1004,Abstract:,What is the proof that information cannot flow from one back-end network to another?,Isabelle/HOL
1004,Abstract:,The work builds on what formally proven correct?,seL4 micro-kernel
1004,Section 1: Introduction,What is an example of a software system that can be proved to have properties of real-world applications?,seL4 microkernel
1004,Section 1: Introduction,What can be provably assured in very large and complex software systems of such size?,targeted properties
1004,Section 1: Introduction,What is the key aspect of the vision of the seL4 microkernel?,system-level specification
1004,Section 2: Case study overview,How many independent networks does a single user require access to in a simple SAC device?,several
1004,Section 2: Case study overview,What must the SAC ensure all data from one network is from each of the other networks?,isolated
1004,Section 2: Case study overview,What does the SAC require for the web server?,TCP/IP stack
1004,Section 3: Designing for the Vision,What architecture does the split of components form?,high-level security
1004,Section 3: Designing for the Vision,What is the property of interest for our case study?,accesscontrol-based
1004,Section 3: Designing for the Vision,What model does seL4 use?,capability-based access-control
1004,Section 4.1: Notation,The notation t ::  means that HOL term t has what?,HOL type
1004,Section 4.1: Notation,What does Isabelle support with named components?,tuples
1004,Section 4.1: Notation,What meta-language conforms for the most part with normal mathematical notation?,Isabelle/HOL
1004,Section 4.2.1: State Space Model,What does a contaminated entity do to another entity?,write operation
1004,Section 4.2.1: State Space Model,What do we need to track additional state for?,security properties
1004,Section 4.2.1: State Space Model,What is the set of access rights that an entity grants rights to?,entity-id rights
1004,Section 4.2.2: System operations,What describes the possible basic transitions on state space?,kernel operations
1004,Section 4.2.2: System operations,All of the operations take what pointing to the targeted entity?,capability
1004,Section 4.2.2: System operations,What retrieves the capabilities held by e?,entity-caps-in-state
1004,Section 4.2.3: State transitions,What changes for each operation?,state
1004,Section 4.2.3: State transitions,How are other operations defined?,similarly
1004,Section 4.2.3: State transitions,What is defined as a step of the system that only takes place if it is legal?,legal-step
1004,Section 4.2: Underlying access control model,What can be reduced to a read?,IPC receive
1004,Section 4.2: Underlying access control model,How many possible operations can the seL4 kernel be reduced to from a security point of view??,seven
1004,Section 4.2: Underlying access control model,"What kernel supports more operations, but purely from a security perspective, each of them can be reduced to a sequence of these seven operations?",seL4
1004,Section 4.3: Component-level model,What instruction accepts a list of targets?,Jump instruction
1004,Section 4.3: Component-level model,What component requires more care?,trusted
1004,Section 4.3: Component-level model,How many network cards does the router instance have?,two
1004,Section 4.4: Security property proof,The proof relies on showing what always holds on the state of the SAC?,an invariant
1004,Section 4.4: Security property proof,What does the model model the fact that cannot read information from NIC-A in a given state as NIC-B not being contaminated?,NIC-B
1004,Section 4.4: Security property proof,"What insists that: (i) Only NIC-A, the router (and associated components) and NIC-D ever become contaminated?",The invariant
1004,Section 4: Formal verification of security properties,What is the name of the secure system that is designed to reduce the size of its TCB in seL4's proof of correctness case study?,SAC
1004,Section 4: Formal verification of security properties,How is the verification approach illustrated?,illustrated in
1004,Section 5: Related Work,What did Spiessens and Murray use to verify the final system design?,simplifying assumptions
1004,Section 5: Related Work,How long did it take to model the SAC?,six weeks
1004,Section 5: Related Work,What is the main benefit of using a theorem prover?,theorem prover
1004,Section 6: Conclusion,What is shown to implement the functional specification of the seL4 kernel?,C code
1004,Section 6: Conclusion,How many lines of code are in a software system?,millions
1004,Section 6: Conclusion,What is a security goal of the SAC that is fulfilled by the modelled design of the modelled system?,isolating data
1004,Title,What is the title of the paper?,Towards proving security in the presence of large untrusted components
1005,Section 1: Motivation,What generation defined provenance formally?,first generation
1005,Section 1: Motivation,How many provenance relationships does the OPM define?,six
1005,Section 1: Motivation,What generation addresses interoperability?,third generation
1005,Section 2: Background,What has there been substantial effort to standardize?,provenance representation
1005,Section 2: Background,What do data systems increasingly collect and use?,provenance
1005,"Section 3: PASS, layering, and the DPAPI",What knows exactly how particular inputs influence particular outputs?,language interpreter
1005,"Section 3: PASS, layering, and the DPAPI",What is the Disclosed Provenance API called?,DPAPI
1005,"Section 3: PASS, layering, and the DPAPI",What is the first place PASS records provenance?,a log
1005,Section 4: StarFlow,What does StarFlow use to create data and control flow dependency graphs?,annotations
1005,Section 4: StarFlow,What address the queries described above by traversing the dependency graph?,Python functions
1005,Section 4: StarFlow,What constructs the data and control flow dependency graphs?,static analyzer
1005,Section 5: The Plan,What helps us avoid needlessly re-executing when a function that we do not call gets changed?,function-level tracking
1005,Section 5: The Plan,What did StarFlow use as the storage substrate for the StarFlow provenance?,PASS
1005,Section 6.1: Referencing Non-Existent Objects,What does the DPAPI assume will want to create mappings to objects in different layers?,layers
1005,Section 6.1: Referencing Non-Existent Objects,What type of flow is captured by StarFlow's static analysis phase of the DPAPI process? .,negative information
1005,Section 6.1: Referencing Non-Existent Objects,StarFlow's dat.out corresponds to what object that does not yet exist?,PASS
1005,Section 6.2: Version Disconnection,What is also important in provenance modeling and representation?,version edges
1005,Section 6.2: Version Disconnection,What does the installation process do to an existing file?,overwrites
1005,Section 6.2: Version Disconnection,What edges are also important in provenance modeling and representation?,version
1005,Section 6.3: Provenance of Provenance,What kind of recursion does the provenance of provenance introduce?,infinite
1005,Section 6.3: Provenance of Provenance,"What does the OPM contain the notion of a process that describes a process that invokes a process that invokes another process, but also accurately describes the agent contributing provenance?",controlling
1005,Section 6.3: Provenance of Provenance,What does the provenance of provenance bring to a system that is not able to avoid infinite recursion?,obvious problems
1005,Section 6: The Reality,How did the integration compare to what we anticipated?,different
1005,Section 7: Conclusions,Where are standsfor and version edges absent?,OPM
1005,Section 7: Conclusions,What edge captures input relationships?,wasDerivedFrom
1005,Section 7: Conclusions,What edge allows agents to state that two objects are the same?,standsfor
1005,Title,What is the title of the paper?,Provenance Integration Requires Reconciliation
1006,Abstract:,What did Kopis uncover?,DDoS botnet
1006,Abstract:,What was the previous DNS reputation system that rely on monitoring traffic from local recursive DNS servers?,Exposure
1006,Abstract:,What is the name of the new detection system?,Kopis
1006,Section 1: Introduction,What should the detection system have in regards to DNS request and response messages related to large DNS zones?,global visibility
1006,Section 1: Introduction,What type of data is often difficult to accumulate and is fragile?,reputation
1006,Section 1: Introduction,What IP address space is becoming more expansive in the near future?,IPv6
1006,Section 5.1: Datasets,What is easy for us to identify for the A-type of DNS query traffic?,IP addresses
1006,Section 5.1: Datasets,How long did we obtain data for the TLD?,52 days
1006,Section 5.1: Datasets,How long was the sample monitoring period?,107 days
1006,Section 5.2: Obtaining the Ground Truth,What type of database were all query tuples derived from DNS authorities indexed in?,relational
1006,Section 5.2: Obtaining the Ground Truth,What TLD did we collect more than eight months of DNS traffic from?,.ca
1006,Section 5.2: Obtaining the Ground Truth,What is an example of a publicly available service?,Malwaredomains
1006,Section 5.3: Model Selection,How long was the observation window of the RF classifier in the Kopis model used to determine the best detection results for the RF classifier?,five days
1006,Section 5.3: Model Selection,How many times were the ROCs computed using cross validation in the Kopis algorithm?,10-fold
1006,Section 5.3: Model Selection,What was the F P rate of the RF classifier?,0.3%
1006,Section 5.4: Overall Detection Performance,How many datasets were used in the longterm experiment?,150
1006,Section 5.4: Overall Detection Performance,"What were the average, minimum and maximum F P rates for the RF?",0.5%
1006,Section 5.5: New and Previously Unclassified Domains,"How many malware-related unique, deduplicated domain names were excluded from the training datasets?","4,792"
1006,Section 5.5: New and Previously Unclassified Domains,What classifier was used to classify domains in the evaluation dataset?,Random Forest
1006,Section 5.5: New and Previously Unclassified Domains,How long did it take to train Kopis?,three weeks
1006,Section 5.6: Canadian TLD,Where did the Canadian TLD's traffic come from?,SIE
1006,Section 5.6: Canadian TLD,How many malware related domain names were in the dataset?,"2,199"
1006,Section 5.6: Canadian TLD,How long did it take to obtain traffic from the Canadian TLD?,52 days
1006,Section 5.7: DDos Botnet Originated in China,What was the average lookup volume every day?,"438,471"
1006,Section 5.7: DDos Botnet Originated in China,How many domain names did the DDoS botnet control?,18
1006,Section 5.7: DDos Botnet Originated in China,How much data reduction did Kopis have?,significant
1006,Section 5: Evaluation,What do we report the results of in this section?,our evaluation
1006,Section 5: Evaluation,What did Kopis discover that was based in China?,DDoS botnet
1006,Section 5: Evaluation,What are the results of Kopis for authoritative NS- and TLD-level deployments?,detection accuracy
1006,Section 6.1: Evasion techniques,What feature family makes it difficult for an attacker to dilute the information provided by the Requester Diversity and Requester Profile features to evade Kopis?,RP feature
1006,Section 6.1: Evasion techniques,What characteristic of a day does a new seed of DGAs typically have in relation to the previous seed of DGAs?,periodicity
1006,Section 6.1: Evasion techniques,What is an example of a malware family that uses domain name generation algorithms in the last few years?,Conficker
1006,Section 6.2: TLDs and Domain Registrars,What strategy can be used for domains that are not replicated in the passive DNS database?,active probing
1006,Section 6.2: TLDs and Domain Registrars,What can domain registrars combine as a final classification heuristic with domain name registration information?,Kopis
1006,Section 6.2: TLDs and Domain Registrars,How many ways are there to resolve this issue?,several ways
1006,Section 7: Conclusion,What is Kopis' T P rate against new and previously unclassified malware-related domains?,73.6%
1006,Section 7: Conclusion,How long was Kopis able to detect newly created and previously unclassified malware-related domain names?,several weeks
1006,Section 7: Conclusion,How many key signals does Kopis model at the DNS authorities?,three
1006,Title,What is the title of the paper?,Detecting Malware Domains at the Upper DNS Hierarchy
1007,Abstract:,What is the name of the new metric that captures the quality of the approximation in terms of both the overall structure of the XML tree and the distribution of document edges?,error metric
1007,Abstract:,What synopses are much more effective in capturing the complete tree structure of the underlying XML database?,TREESKETCH
1007,Abstract:,In what type of systems has the approximate query answers method been successfully used to reduce response time and provide users with early feedback?,relational
1007,Section 1.: INTRODUCTION,What has evolved from a mark-up language for web documents to an emerging standard for data exchange and integration over the internet?,XML
1007,Section 1.: INTRODUCTION,What does a system return when a query is processed over a concise synopsis of the XML data?,an approximation
1007,Section 2.: BACKGROUND,What tree can be used to reproduce the binding tuples of a query and ultimately the result of a query?,nesting tree
1007,Section 2.: BACKGROUND,What is a label in a XPath expression that is required under a given parent node in the XPath expression?,label path
1007,Section 4.3: Approximate Query Processing,The overall selectivity is computed using what principle on the recorded fractions of a TREESKETCH synopsis?,inclusion-exclusion principle
1007,Section 4.3: Approximate Query Processing,What does EVALQUERY show for algorithm EVALQUERY?,pseudo-code
1007,Section 4.3: Approximate Query Processing,"What do the separate invocations of EVALEMBED essentially apply between the different variables of the query, which translates to an independence assumption on the underlying path distribution?",independence assumption
1007,Section 4.4: Selectivity Estimation,What do we briefly discuss the use of for estimating the selectivity of twig queries?,TREESKETCHes
1007,Section 4.4: Selectivity Estimation,What shows that accurate estimation for the number of bindings tuples for twig queries is a key requirement in producing effective query plans for complex declarative queries over XML data?,earlier studies
1007,Section 4.4: Selectivity Estimation,In what version of this paper can the full details of the estimation algorithm be found?,full version
1007,Section 4.: SYNOPSIS CONSTRUCTION AND QUERY PROCESSING,What do we use for a given space budget?,TREESKETCH synopses
1007,Section 5.: AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS,What is the most widely used distance metric?,tree-edit distance
1007,Section 5.: AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS,What is the new distance metric that avoids the shortcomings of syntax-oriented metrics?,ESD
1007,Section 5.: AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS,What is ESD?,Distance Metric
1007,Section 6.: EXPERIMENTAL STUDY,What are TREESKETCH synopses used for?,structural summaries
1007,Section 6.: EXPERIMENTAL STUDY,How do TREESKETCHes perform in all aspects?,consistently better
1007,Section 6.: EXPERIMENTAL STUDY,What is a viable and effective solution for the structural summarization of large XML data sets?,TREESKETCHes
1007,Section 7.: CONCLUSIONS,What does the TREESKETCH synopses capture very effectively in XML data sets?,sub-structure similarity
1007,Section 7.: CONCLUSIONS,What has been proposed to quantify the quality of the approximate answers generated by the TREESKETCH synopses and TREESKETCH for a limited space budget?,distance metric
1007,Section 7.: CONCLUSIONS,What constitutes an effective solution for offsetting the high execution cost of complex XML queries in an interactive data exploration environment?,Approximate answers
1007,Title,What is the title of the paper?,Approximate XML Query Answers
1008,Abstract:,What layer operates under the file system layer?,RAID
1008,Section 1: Introduction,What is a landmark in the history of storage systems?,RAID
1008,Section 1: Introduction,What level of RAID has remained unchanged despite significant changes in the storage hardware landscape?,block-level
1008,Section 1: Introduction,"What administrative tool broke the ""one file system per disk"" bond?",volume managers
1008,Section 2.1: Silent data corruption,What detects a corrupt unverified data block on the next read request?,Parental checksumming
1008,Section 2.1: Silent data corruption,What is the parent of a block called?,inode
1008,Section 2.1: Silent data corruption,"What are lost, misdirected, and torn writes?",partial failures
1008,Section 2.2: System failure,"Hardware RAID relies on what to solve the ""write hole""?",NVRAM
1008,Section 2.2: System failure,What causes a consistent update problem in RAID systems?,power failures
1008,Section 2.2: System failure,What is the window of vulnerability between a crash and complete recovery referred to as?,"""write hole"""
1008,Section 2.3: Device failure,How does a storage array degrade when unexpected failures occur?,gracefully
1008,Section 2.4: Administration nightmare,On what basis are policies like encryption and compression available?,per-volume basis
1008,Section 2.4: Administration nightmare,What have different levels of importance and need different levels of protection?,Different files
1008,Section 2.5: Heterogeneity issues,What are file systems aware of?,device-specific abstractions
1008,Section 2: Problems with block-level RAID,What type of RAID implementations are plagued by problems?,block-level RAID
1008,Section 3: Proposed solutions,What project proposes a new stack made up of three layers?,ZFS
1008,Section 3: Proposed solutions,How is the RAID layer prone to errors?,nonportable
1008,Section 3: Proposed solutions,How many of the approaches to solving the problems mentioned in the previous section tackle all the problems?,none
1008,Section 4.1: Physical layer,What checksum accompanies each block pointer in the inode?,CRC32
1008,Section 4.1: Physical layer,How many instances of the layout protocol do we run per disk drive?,one
1008,Section 4.1: Physical layer,"What does the inode bitmap file, the block bitmap file, and the ""root"" file contain checksums for?",data blocks
1008,Section 4.3: Cache layer,What system does not have a unified page cache?,MINIX 3
1008,Section 4.3: Cache layer,What provides the in-core file abstraction to the naming layer?,cache layer
1008,Section 4.4: Naming layer,What call does the naming layer use to pass down the attribute data?,setattribute
1008,Section 4.4: Naming layer,What does the naming layer store as a directory entry?,name/identifier mapping
1008,Section 4.4: Naming layer,All POSIX attributes are stored as what?,Loris
1008,Section 4.5: Legacy support in Loris,The new division of labor among layers in what makes it incompatible with the traditional file system design?,Loris
1008,Section 4: The Loris storage stack,How is labor divided between layers in Loris?,bottom-up
1008,Section 4: The Loris storage stack,On what system has Loris been implemented?,MINIX 3
1008,Section 4: The Loris storage stack,What stack is Loris similar to?,network protocol
1008,Section 5.1: Data corruption,What do we convert by requiring all layout schemes in the physical layer to implement parental checksumming?,fail-partial failures
1008,Section 5.2: Crash recovery,What technique is used to maintain metadata consistency?,doublefs
1008,Section 5.2: Crash recovery,What policy are users free to specify on a per-file basis?,RAID level
1008,Section 5.2: Crash recovery,What is one way to provide atomic updates of user data?,Data journaling
1008,Section 5.4: Simplified administration,The naming layer can specify the policy on a per-file basis similar to what?,RAIF
1008,Section 5.4: Simplified administration,What split does the new stack provide?,policy/mechanism
1008,Section 5.4: Simplified administration,What could be replicated on multiple devices while compiler-temporary files are not?,cherished photographs
1008,Section 5.5: Embracing heterogeneity,Loris can support heterogeneous installations where block-based disks coexist with byte-granular flash devices and what?,object-granular OSDs
1008,Section 5.5: Embracing heterogeneity,Who supports heterogeneous installations where block-based disks coexist with byte-granular flash devices and object-granular OSDs?,Loris
1008,Section 5: Solving problems the Loris way,Who solves the problems we mentioned in Section 2?,Loris
1008,Title,What is the title of the paper?,Block-level RAID is dead
1009,Abstract:,What is the average accuracy rate for identifying dependencies between VMs?,97.15%
1009,Abstract:,Where does LWT operate?,management VMs
1009,Section 1: Introduction,What is the tagline of 'The Butterfly Effect'?,minor
1009,Section 1: Introduction,How many physical machines are a multi-tier application deployed across?,three
1009,Section 1: Introduction,What does an administrator need to identify between VMs to be able to make more sophisticated decisions?,dependencies
1009,Section 2: Related Work,Who detects problems in a distributed system by monitoring resources?,Gao
1009,Section 2: Related Work,What reconstructs causal paths based on OSlevel event tracing?,Magpie
1009,Section 2: Related Work,Who discovers dependencies for enterprise applications by using time correlation of messages between different services?,Orion
1009,Section 3.1: Intuition & Overview,How many steps does the algorithm consist of?,three steps
1009,Section 3.1: Intuition & Overview,What type of architecture makes more requests to the server when a client's workload increases?,request-response
1009,Section 3.1: Intuition & Overview,How do we classify VMs?,cluster
1009,Section 3.2.1: Sampling Period,What was the cut-off for the correlation coefficient?,"C,"
1009,Section 3.2.1: Sampling Period,What was the optimal sampling period?,1 second
1009,Section 3.2.1: Sampling Period,What client has a dependency between the server and Apache Webserver?,Iperf
1009,Section 3.2.2: Sample Size,What happens to the sample size as the number of VMs monitored increases?,increases
1009,Section 3.2.2: Sample Size,What could we do every 300 or more seconds?,calculate dependencies
1009,Section 3.2.2: Sample Size,What is the effect of this approach on the sample size?,less sensitive
1009,Section 3.2.3: Active Perturbation,"By periodically changing the cap on a randomly selected subset of VMs, we introduce additional what in our sample set?",time-dependent spikes
1009,Section 3.2.3: Active Perturbation,What refers to purposely changing some aspects of a VM?,Perturbation
1009,Section 3.2.3: Active Perturbation,"By perturbing a VM, we expect to see changes in what of dependent VMs?",CPU utilization
1009,Section 3.2: Monitoring,The monitoring module records the resource uti- what?,lization
1009,Section 3.3.1: Order of AR model,What order is more a choice of how much we want to summarize?,in
1009,Section 3.3: Auto-Regressive Modelling,What type of model is given by a weighted sum of p previous values?,auto-regressive
1009,Section 3.3: Auto-Regressive Modelling,What is the time series of each VM fitted to a model to capture how one spike in time is influenced by previous spikes?,CPU usage
1009,Section 3.4: Clustering,"What is the final step to group dependent VMs together, based on the distance between their AR models?",clustering
1009,Section 3.4: Clustering,What does the algorithm use to divide data into a number of clusters=K?,K-means
1009,Section 3.4: Clustering,What distance is used in clustering to get models with similar coefficients for a particular sample in history closer to each other?,Euclidean
1009,Section 4: Experimental Setup,How many VMs are in a testbed with 31 virtual machines that are configured to use 51 MB of RAM?,2
1009,Section 4: Experimental Setup,What is a commonly used network testing tool that can create TCP and UDP data streams and measure the throughput of a network that is carrying them?,Iperf
